,Movie Title,ggg,Plot,img
352,Humsafar,"Drama, Romance","love, daughter, humsafar, pakistani drama, momina duraid, fawad khan, open heart surgery, husband, single mother, villian, self respect, premature baby, seperation, accused of cheating, mother in law, hatred",https://m.media-amazon.com/images/M/MV5BZTJjMjRmMmYtNmVmMi00MDZjLWFlNTgtYTJjYWMzNTc1MmVlXkEyXkFqcGdeQXVyNTczMzI1ODc@._V1_
353,Kabul Express,"Adventure, Comedy, Drama","pakistani, taliban, journalist, afghanistan, hostage, journey, kidnapping, city name in title, blindfold, tank, pepsi, helicopter, criticism, handicapped, cameraman, buzkashi, tragic ending, satire, reporter",https://m.media-amazon.com/images/M/MV5BNTk3YTliODUtZDFiNS00ODFkLTllOWEtNDlkNzUzOGYzZjcxXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_
354,Tum Bin,"Drama, Romance","love, death, guilt, forgiveness, redemption, loss of fiance, loss of loved one, mourning, sleeper hit, cult film, engagement, repentance",https://m.media-amazon.com/images/M/MV5BZGM0MzY0NmQtZTVmNy00MTA0LWFiZTQtNDYxNjA5ZjEyYzhkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_
355,Dus,"Action, Crime, Drama","body in a trunk, aerial camera shot, terrorist, canada, die hard scenario, slow motion scene, pregnancy, marital problem, flashback, cell phone, undercover, espionage, unspoken love, terrorist plot, terrorism, suicide, stadium, soccer match, shotgun, shot to death, shot in the forehead, shootout, secret mission, secret code, pregnant wife, airplane crash, parking lot, overhead camera shot, motorcycle, miscarriage, mind game, love at first sight, loss of brother, lake, kidnapping, interrogation, helicopter, fake identity, explosion, exploding car, elevator, decision, counter terrorism, commentator, code breaking, c4 explosives, brother brother relationship, bomb, anti terrorist squad, airplane",https://m.media-amazon.com/images/M/MV5BOWIyNmExZWQtMDEyZC00ODU0LWI2ZDItMmVlMjUzODM4Mzc1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_
356,Ghatak: Lethal,"Action, Drama","violence, market, medical examination, curfew, shop, humiliation, love interest, shouting, anger, weeping boy, weeping man, tears, weeping, cancer, shaved head, funeral, dancer, mud, comic relief, sword, child kidnapping, brother brother relationship, father son relationship, family relationships, boy, truck, murder, death of brother, doctor, hospital, action hero, hero, insane woman, crime boss, bare chested male, fear, thug, tough guy, one man army, fistfight, good versus evil, self justice, righteous rage, actor playing himself, temple, prison, death of father",https://m.media-amazon.com/images/M/MV5BMWJkMmNhOTYtYmZjYi00MjllLWE3ODQtZDAzNGMxYTBiNTg4XkEyXkFqcGdeQXVyNjc1MzY5NDU@._V1_
357,Parinda,"Action, Crime, Drama","death of brother, henchman, betrayal, sex in bed, temple, tough cop, crime boss, best friend, newlywed couple, burned to death, brother brother conflict, childhood sweetheart, brother brother reunion, musical cigarette lighter, tragedy, guilt, self sacrifice, intimidation, loyalty, childhood, conscience, vendetta, mercilessness, orgasm, new year's eve, burned alive, screaming man, traumatic memory, gangster, pigeon, gang war, love, revenge, assassination, seashore, kiss, teacher, wedding, grief, psychopath, anger, suicide, traitor, corrupt cop, informer, violence, leg cut off, shot in the back, person on fire, murder of friend, reunited friends, honest cop, gang member, warehouse, dark past, flute, corpse, double murder, wedding night, brother brother relationship, shouting, murder of a police officer, sex scene, shot to death, organized crime, pyrophobia, drug smuggling, friendship, witness, gateway of india, fire, death of friend, alcohol, blood, ambush, deception, boy, girl, car chase, airport, knife, apartment, attempted murder, police station, hit by a car, tears, memory, theft, nurse, silencer, motorboat, screaming woman, breaking a bottle, doorbell, ankle holster, locked door, street urchin, peace offering, mumbai skyline, shooting out rear windshield, marriage, beating, doctor, hotel, pistol, false accusation, breakup, elevator, arson, sadness, machine gun, night, telephone, truth, funeral pyre, confession, candle, drink, testimony, toy, cigarette lighter, uxoricide, witness to a murder, filicide, suicide by shooting oneself in the head, engagement ring, swing, trophy, lust, slow motion scene, revelation, suspect, beer, death threat, traffic jam, old photograph, framed photograph, staircase, mob hit, murder disguised as suicide, hairy chested man, man wrapped in a towel, crying, school, police inspector, photograph, muslim, scooter, priest, bar, factory, abduction, sea, shot in the chest, telephone call, petrol pump, revolver, overhead camera shot, hotel room, lie, fight, flashback, stabbing, sword, trauma, police raid, handicapped, morgue, hindu, boat, cult film, screaming, one word title, murder, heroin, criminal, threat",https://m.media-amazon.com/images/M/MV5BMjA5ODU4ODU2MV5BMl5BanBnXkFtZTcwMTI3ODgzMQ@@._V1_
358,F.A.L.T.U,"Comedy, Drama",college,https://m.media-amazon.com/images/M/MV5BMTM2NDg0NTQ3NF5BMl5BanBnXkFtZTcwMTgyOTM5NA@@._V1_
359,Tevar,"Action, Drama, Romance","unrequited love, criminal, love triangle, fight, on the run, remake, chase, obsession",https://m.media-amazon.com/images/M/MV5BMTQyMTYwMDc5N15BMl5BanBnXkFtZTgwMTY3NTk5MzE@._V1_
360,Jaani Dushman: Ek Anokhi Kahani,"Action, Fantasy, Horror","rape and revenge, curse, snake, interrupted rape, transformation, engagement, brother brother relationship, suicide, serial killer, television show host, person coming out of a television, possession, snake woman, resurrection, reincarnation, death of lover, college, principal, rape victim, rape, supernatural power, stabbed in the stomach, vengeance, snake man, showdown, invulnerability, ghost, cobra, walking through a wall, bullet dodging, vengeful ghost, death, beating, flashback, darkroom, thrown from height, falling to death, skeleton, bedroom, wedding reception, joke, kicking in a door, blood, hitchhiking, sunglasses, motorcycle, chase, mirror, reflection in a mirror, electrocution, gun, seance, product placement, parrot, advertisement, lifting someone into the air, hand to hand combat, explosion, grenade launcher, exploding body, courtroom, framed for murder, unrequited love, telephone call, death threat, gym, necklace, sofa, arrest, coma, rescue, apology, woman in a shower, shower, false accusation, tv show, stabbed to death, slow motion, shapeshifter, motorcycle crash, jail, good versus evil",https://m.media-amazon.com/images/M/MV5BY2NmYTg1NjEtY2IzMy00ZmVjLThkZjYtNDBkZDIzOTlmZWIyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_
361,Ekk Deewana Tha,"Drama, Romance",love,https://m.media-amazon.com/images/M/MV5BZDhmNDdkYmYtOGZhOS00YWRjLWI3ODYtNjg5NTViODViNDE3XkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_
